,Cities
0,mataura
1,belle fourche
2,makakilo city
3,berbera
4,bethel
5,busselton
6,new norfolk
7,hermanus
8,la macarena
9,bluff
10,castro
11,rikitea
12,balgazyn
13,cherskiy
14,emba
15,tumannyy
16,punta arenas
17,vangaindrano
18,hobart
19,kayerkan
20,kerteh
21,cubuk
22,tasiilaq
23,vaini
24,saskylakh
25,itarema
26,buchanan
27,mamburao
28,tambacounda
29,atuona
30,lorengau
31,mount gambier
32,ushuaia
33,panaba
34,esperance
35,grand river south east
36,sao filipe
37,pokaran
38,korla
39,ugep
40,nuqui
41,east london
42,torbay
43,mys shmidta
44,khatanga
45,port alfred
46,margate
47,puerto ayora
48,caravelas
49,hofn
50,itaituba
51,marquette
52,illoqqortoormiut
53,kiunga
54,mitu
55,yaan
56,belushya guba
57,bardiyah
58,kalmunai
59,thompson
60,port hardy
61,bredasdorp
62,chuy
63,svetlaya
64,sibolga
65,shimoda
66,mangrol
67,vaitupu
68,norman wells
69,karratha
70,jamestown
71,hunza
72,cap malheureux
73,bur gabo
74,narsaq
75,eureka
76,chagda
77,yeppoon
78,qasigiannguit
79,lebu
80,chokurdakh
81,san cristobal
82,barentsburg
83,ancud
84,aleksandrovskoye
85,oranjemund
86,nikolskoye
87,amderma
88,mahebourg
89,hay river
90,batemans bay
91,tura
92,baykit
93,ende
94,cilegon
95,palabuhanratu
96,port said
97,devrek
98,rio gallegos
99,kailua
100,nanortalik
101,fairfield
102,traralgon
103,provideniya
104,mezen
105,barrow
106,hithadhoo
107,carnarvon
108,tuktoyaktuk
109,albany
110,kahului
111,alta floresta
112,bandar-e lengeh
113,kaitangata
114,port blair
115,longyearbyen
116,warqla
117,petropavlovsk-kamchatskiy
118,sioux lookout
119,louisbourg
120,myanaung
121,kaitong
122,san ramon de la nueva oran
123,ciechanow
124,yankton
125,kolokani
126,terney
127,honavar
128,upernavik
129,cap-aux-meules
130,zima
131,sinnamary
132,naryan-mar
133,lanzhou
134,andenes
135,marabba
136,jaramana
137,mandera
138,kodiak
139,ugoofaaru
140,lasa
141,libertador general san martin
142,lagoa
143,saint-pierre
144,ilulissat
145,kirakira
146,taolanaro
147,worpswede
148,broome
149,angoche
150,saint-philippe
151,pahrump
152,tynda
153,tsihombe
154,ilam
155,anadyr
156,iskateley
157,avarua
158,hualmay
159,stara vyzhivka
160,kapaa
161,hasaki
162,cabo san lucas
163,tingi
164,rafaela
165,vila praia de ancora
166,evensk
167,ponta do sol
168,yellowknife
169,ribeira grande
170,ciudad bolivar
171,nshamba
172,sao domingos
173,baculin
174,verkh-usugli
175,guerrero negro
176,namatanai
177,lianzhou
178,el paso
179,lavrentiya
180,novo aripuana
181,bereda
182,nizhneyansk
183,buala
184,saldanha
185,coffs harbour
186,boden
187,noumea
188,chifeng
189,fort portal
190,long beach
191,havoysund
192,arraial do cabo
193,ruatoria
194,kazachinskoye
195,fukue
196,samusu
197,birao
198,port lincoln
199,luena
200,bambous virieux
201,faanui
202,cape town
203,ngukurr
204,mergui
205,dubai
206,cheney
207,kokomo
208,asfi
209,moerai
210,broken hill
211,qaanaaq
212,soubre
213,songjianghe
214,harper
215,monte gordo
216,georgetown
217,ostrovnoy
218,mawlamyine
219,aklavik
220,gwembe
221,gorebridge
222,grindavik
223,camacha
224,cockburn town
225,san jacinto
226,buon me thuot
227,aromashevo
228,nueva loja
229,deputatskiy
230,kokopo
231,lompoc
232,karaul
233,krasnoselkup
234,sabang
235,srivardhan
236,ohara
237,adre
238,vanimo
239,honiara
240,pagudpud
241,iqaluit
242,qaqortoq
243,victoria
244,pandan niog
245,nome
246,beloha
247,luderitz
248,sola
249,havre-saint-pierre
250,paradise
251,leningradskiy
252,hilo
253,olinda
254,morondava
255,gat
256,beringovskiy
257,severo-kurilsk
258,bubaque
259,cidreira
260,garissa
261,vrises
